Company,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rebates,True Outstanding Loan Value,True Payment Status
ABF,DSB1074-005,2023-11-20,14.46,137.96,USD,116.45,5.52,0.72,,0.72,0.09,0.0,0,On Time
ABF,DSB2684-002,2025-02-21,70.3,643.06,USD,543.84,23.15,2.44,,3.01,0.32,0.0,0,On Time
ABF,DSB1457-007,2024-03-21,17.25,251.38,USD,212.75,18.1,0.82,,2.35,0.11,0.0,0,On Time
ABF,DSB2483-001,2025-04-24,0,297.87,USD,122.38,44.68,110.62,,5.81,14.38,0.0,"48,035.02",Late
ABF,DSB0927-002,2023-12-01,33.77,"2,345.28",USD,"1,982.3",281.43,9.9,,36.59,1.29,0.0,0,Prepayment
ABF,DSB1144-003,2023-12-01,33.13,672,USD,609.12,24.19,2.13,,3.14,0.28,0.0,0,Prepayment
ABF,DSB2776-002,2025-04-22,5.31,"1,288",USD,"1,165.75",97.89,5.6,,12.73,0.73,0.0,0,Late
ABF,DSB2789-030,2025-04-22,88.42,"1,288.2",USD,"1,091.29",92.75,3.26,,12.06,0.42,0.0,0,Late
ABF,DSB1470-003,2024-03-22,72.27,879.2,USD,741.77,52.75,4.91,,6.86,0.64,0.0,0,On Time
ABF,DSB1418-016,2024-03-15,21.37,311.28,USD,263.68,22.41,0.8,,2.91,0.1,0.0,0,On Time
ABF,DSB0221-001,2023-04-21,35.71,599.2,USD,499.32,47.94,8.85,,6.23,1.15,0.0,0,On Time
ABF,DSB2777-004,2025-04-11,103.98,"3,587.86",USD,"3,246.25",193.74,16.55,,25.19,2.15,0.0,0,Late
ABF,DSB1749-002,2024-10-08,0,"1,121.32",USD,931.26,168.2,0.0,,21.87,0,0.0,71.88,On Time
ABF,DSB1642-011,2024-05-06,8.7,97.85,USD,82.84,5.28,0.3,,0.69,0.04,0.0,0,On Time
ABF,DSB1640-051,2024-05-06,45.62,512.67,USD,433.73,27.68,1.81,,3.6,0.23,0.0,0,On Time
ABF,DSB1077-001,2023-12-05,5.78,65,USD,54.87,3.51,0.34,,0.46,0.04,0.0,0,On Time
ABF,DSB2055-001,2024-08-26,104.27,"1,171.74",USD,991.42,63.27,4.03,,8.23,0.52,0.0,0,Prepayment
ABF,DSB1365-019,2024-02-12,14.66,164.61,USD,139.29,8.89,0.55,,1.16,0.07,0.0,0,Prepayment
ABF,DSB2125-004,2024-08-16,37.14,305.1,USD,255.81,7.63,3.12,,0.99,0.41,0.0,0,Prepayment
ABF,DSB0109-001,2023-02-22,37.27,355.6,USD,296.49,14.22,5.11,,1.85,0.66,0.0,0,Prepayment
ABF,DSB1766-003,2024-07-22,0,26.03,USD,21.08,3.12,1.26,,0.41,0.16,0.0,126.38,Prepayment
ABF,DSB1816-004,2024-06-26,85.7,963.26,USD,815.04,52.02,3.31,,6.76,0.43,0.0,0,Prepayment
ABF,DSB0823-008,2023-09-26,44.41,499.11,USD,422.3,26.95,1.72,,3.5,0.22,0.0,0,On Time
ABF,DSB2823-001,2025-04-29,657.04,972.11,USD,235.98,69.99,0.0,,9.1,0,0.0,0,Late
ABF,DSB0898-017,2023-10-20,24.14,271.32,USD,229.65,14.65,0.86,,1.9,0.11,0.0,0,On Time
ABF,DSB2966-006,2025-07-09,1.19,291.2,USD,263.64,22.13,1.2,,2.88,0.16,0.0,0,Prepayment
ABF,DSB1682-003,2024-09-06,0,"3,920",USD,"3,240.64",588,13.2,,76.44,1.72,0.0,76.44,Prepayment
ABF,DSB1748-004,2024-09-06,0,"2,586.43",USD,"2,137.35",387.96,9.45,,50.44,1.23,0.0,50.43,Prepayment
ABF,DSB2202-010,2024-10-03,0,964.75,USD,901.22,52.1,4.12,,6.77,0.54,0.0,480.23,Prepayment
ABF,DSB2765-010,2025-04-28,32.46,672,USD,568.32,60.48,2.55,,7.86,0.33,0.0,0,Late
ABF,DSB2784-003,2025-04-28,1.15,280,USD,252.95,21.28,1.64,,2.77,0.21,0.0,0,Prepayment
ABF,DSB1436-009,2024-02-21,20.41,413.84,USD,375.02,14.9,1.39,,1.94,0.18,0.0,0,Prepayment
ABF,DSB0924-004,2023-11-01,15.9,231.65,USD,196.19,16.68,0.63,,2.17,0.08,0.0,0,On Time
ABF,DSB2063-027,2024-09-09,3.63,52.95,USD,44.83,3.81,0.16,,0.5,0.02,0.0,0,On Time
ABF,DSB0872-001,2023-09-20,230.38,"2,464",USD,"2,084.64",123.2,8.64,,16.02,1.12,0.0,0,Prepayment
ABF,DSB0757-001,2023-09-20,1.55,373.24,USD,335.88,28.37,3.33,,3.69,0.43,0.0,0,Prepayment
ABF,DSB0963-038,2023-11-03,63.69,715.86,USD,605.71,38.66,2.46,,5.03,0.32,0.0,0,On Time
ABF,DSB0767-001,2023-08-08,129.55,"1,064",USD,894.9,26.6,8.4,,3.46,1.09,0.0,0,Prepayment
ABF,DSB2233-004,2024-10-01,9.24,187.5,USD,169.79,6.75,0.74,,0.88,0.1,0.0,0,Prepayment
ABF,DSB2696-050,2025-03-07,33.54,376.8,USD,319.11,20.35,1.03,,2.65,0.13,0.0,0,Late
ABF,DSB2696-027,2025-03-07,16.79,188.7,USD,159.81,10.19,0.52,,1.32,0.07,0.0,0,Late
ABF,DSB2394-049,2024-11-28,4.12,46.35,USD,39.26,2.5,0.12,,0.33,0.02,0.0,0,Prepayment
ABF,DSB0214-008,2023-04-22,46.73,784,USD,663.88,62.72,2.23,,8.15,0.29,0.0,0,Late
ABF,DSB1858-003,2024-07-01,15.93,193.8,USD,162.81,11.63,1.7,,1.51,0.22,0.0,0,Prepayment
ABF,DSB0409-009,2023-06-09,23.4,262.89,USD,222.41,14.2,0.92,,1.85,0.12,0.0,0,On Time
ABF,DSB0157-017,2023-03-24,7.79,87.5,USD,74.1,4.72,0.24,,0.61,0.03,0.0,0,On Time
ABF,DSB2950-003,2025-06-09,18.91,230,USD,194.75,13.8,0.66,,1.79,0.09,0.0,0,Prepayment
ABF,DSB0608-002,2023-07-14,21.57,205.8,USD,173.29,8.23,1.45,,1.07,0.19,0.0,0,On Time
ABF,DSB1171-004,2024-07-05,0,265.99,USD,238.94,23.94,0.0,,3.11,0,0.0,563.21,Prepayment
ABF,DSB1590-003,2024-04-10,25.62,519.42,USD,468.82,18.7,3.41,,2.43,0.44,0.0,0,Prepayment
ABF,DSB0456-008,2023-06-23,5.34,60.07,USD,50.76,3.24,0.27,,0.42,0.03,0.0,0,On Time
ABF,DSB1998-004,2024-09-20,15.06,538.56,USD,455.42,58.16,2.08,,7.56,0.27,0.0,0,On Time
ABF,DSB1963-002,2024-09-20,0,317.19,USD,257.78,44.41,8.17,,5.77,1.06,0.0,549.41,Prepayment
ABF,DSB0713-001,2023-09-07,25.05,676.98,USD,565.43,67.7,8.85,,8.8,1.15,0.0,0,Prepayment
ABF,DSB0615-001,2023-07-17,57.6,616,USD,516.73,30.8,6.08,,4,0.79,0.0,0,Prepayment
ABF,DSB2373-073,2024-11-22,40.63,456.61,USD,387.24,24.66,0.78,,3.21,0.1,0.0,0,On Time
ABF,DSB2373-007,2024-11-22,4.71,52.95,USD,44.91,2.86,0.09,,0.37,0.01,0.0,0,On Time
ABF,DSB0761-001,2023-10-11,53.22,"1,101.75",USD,928.97,99.16,6.65,,12.89,0.86,0.0,0,On Time
ABF,DSB0125-005,2023-03-16,1.99,30.51,USD,25.29,2.29,0.57,,0.3,0.07,0.0,0,On Time
ABF,DSB1448-004,2024-03-12,238.62,"2,681.83",USD,"2,265.37",144.82,12.56,,18.83,1.63,0.0,0,On Time
ABF,DSB0257-001,2023-04-25,16.79,579.04,USD,523.8,31.27,2.76,,4.06,0.36,0.0,0,Prepayment
ABF,DSB1786-003,2024-10-04,0,462.03,USD,383.72,69.3,0.0,,9.01,0,0.0,55.63,Prepayment
ABF,DSB2868-006,2025-05-06,38.68,"1,334.53",USD,"1,209.02",72.06,4.78,,9.37,0.62,0.0,0,Prepayment
ABF,DSB1043-009,2023-11-28,9.77,109.77,USD,92.93,5.93,0.33,,0.77,0.04,0.0,0,Prepayment
ABF,DSB1767-037,2024-06-10,18.04,202.76,USD,171.73,10.95,0.55,,1.42,0.07,0.0,0,On Time
ABF,DSB1378-006,2024-01-18,45.43,735.89,USD,666.38,18.4,2.91,,2.39,0.38,0.0,0,Prepayment
ABF,DSB1828-002,2024-06-11,93.19,996.8,USD,841.3,49.84,5.3,,6.48,0.69,0.0,0,On Time
ABF,DSB2841-010,2025-06-02,44.9,121.46,USD,64.21,10.93,0.0,,1.42,0,0.0,0,Late
ABF,DSB2660-003,2025-02-28,68.17,766.14,USD,648.52,41.37,2.39,,5.38,0.31,0.0,0,On Time
ABF,DSB0752-012,2023-09-14,14.15,206.13,USD,174.44,14.84,0.68,,1.93,0.09,0.0,0,On Time
ABF,DSB2817-002,2025-05-08,4.34,"1,052.8",USD,954.75,80.01,2.92,,10.4,0.38,0.0,0,Late
ABF,DSB0118-004,2023-03-14,28.46,319.79,USD,270.86,17.27,0.85,,2.24,0.11,0.0,0,On Time
ABF,DSB1291-002,2024-01-05,2.12,19.37,USD,16.37,0.7,0.08,,0.09,0.01,0.0,0,On Time
